fips,mean,sdi,sdi_score
01003,7.5514018691588776,-1.0888273,16
01027,7.5504672897196263,0.56090587,67
01033,7.2132352941176476,0.1294876,53
01049,7.5499999999999989,0.92622328,80
01055,8.41052631578947,0.51345563,66
01069,8.1156521739130429,0.77014118,77
01073,9.5134810710988,0.4827309,65
01089,7.2325581395348832,-0.53661788,32
01097,8.3026785714285687,0.91081655,79
01101,8.87378048780488,1.1681187,90
01103,7.6278260869565209,0.1841706,54
01113,9.37142857142857,1.3595866,94
01125,7.9419642857142856,0.71012276,73
02020,8.1858455882352956,-0.5817129,31
02090,11.343688524590164,-0.6129092,30
02110,6.821739130434783,-1.0031437,18
02170,5.8684380032206116,-0.8144443,23
04001,2.2126213592233013,1.3142068,93
04003,5.0722689075630258,0.53852993,67
04012,3.2594285714285713,1.1372488,85
04013,6.872292626728111,0.30536729,58
04019,3.6099121706399,0.83162278,78
04021,8.1597864768683284,-0.054557379,47
04023,8.7419277108433757,1.3107549,93
04027,7.93068493150685,1.2609078,93
05001,7.9305084745762722,0.82466072,78
05003,8.1950000000000021,0.32122263,60
05007,8.2121107266435978,-0.64799345,28
05031,7.5244897959183676,0.87824774,79
05035,8.2781512605042025,1.5530996,97
05051,8.8373333333333335,0.60846633,69
05067,8.16923076923077,0.96543205,80
05113,8.6741666666666681,0.86267662,79
05119,9.71683168316832,0.75638807,76
05139,9.0541666666666671,0.80856782,78
05143,8.0075000000000021,1.1259181,84
06001,7.3294805802526906,-0.028539814,48
06007,7.1088957055214719,0.8968327,79
06009,5.46094674556213,-0.80291665,24
06011,6.3038251366120219,0.71799535,74
06013,7.17521578298397,-0.59721857,30
06019,9.2555757026291925,1.8235936,100
06023,6.7878504672897195,1.1301757,85
06025,9.6725724020442918,1.7109995,99
06027,4.7974387527839646,-0.65458959,28
06029,8.4690370370370367,1.6472312,98
06031,12.134409937888199,1.6640708,98
06033,3.1416666666666666,0.94835478,80
06037,10.096317888922982,1.1424047,86
06039,9.6128851540616225,1.3315201,94
06041,6.3801699716713882,-0.99626791,18
06045,5.6523141654978968,1.1432554,89
06047,9.2741127348643,1.8199369,100
06051,5.8588086185044359,-0.5985021,30
06053,4.500177619893428,0.86883116,79
06055,5.9230985915492953,-0.49083543,33
06057,5.82167300380228,-0.97355616,19
06059,8.9454434993924661,0.031384055,49
06061,7.0171171171171167,-1.4099687,9
06063,8.9405117270788921,-0.74207401,25
06065,8.4519611370996763,0.37982631,61
06067,6.6906480117820326,0.75189501,76
06069,4.9182584269662915,-0.16455005,44
06071,10.684661473936488,1.155084,89
06073,9.9696564885496173,0.21566668,55
06075,7.667409470752089,0.0054526762,49
06077,9.0348054679284946,1.0029174,81
06079,5.6460183227625089,-0.2174833,42
06081,6.9860465116279062,-0.74382222,25
06083,5.2994334277620387,0.79436707,77
06085,7.4819999999999993,-0.43511996,35
06087,5.6200860832137733,0.33738762,60
06089,6.6283018867924524,0.56311005,67
06093,5.8063711911357334,0.58732373,68
06095,8.7149441340782126,-0.13644075,45
06097,5.6781341107871732,-0.40302035,37
06099,9.1352781546811386,1.117944,84
06101,8.4501416430594887,1.2028384,91
06103,5.4294617563739376,1.2158172,91
06107,12.897345132743364,1.7163018,99
06111,6.6472470588235293,-0.30234435,40
06113,7.7150943396226426,1.263593,93
08001,8.97644230769231,-0.088952698,46
08005,6.0161016949152541,-0.93948132,20
08013,7.2006700167504185,-0.7835086,24
08029,3.72514450867052,-0.0070843198,49
08031,7.98910391249474,0.3884156,62
08035,5.9151927437641731,-2.048305,1
08041,4.975428571428572,-0.79080504,24
08045,3.4610958904109586,-0.7470656,25
08069,5.9671232876712335,-1.0176901,18
08077,4.9653739612188366,-0.13260826,45
08101,4.7210526315789467,0.78726411,77
08103,7.8946478873239432,-0.95498049,20
08123,8.5983471074380162,-0.76441205,25
09001,7.629558998808105,-0.7240774,26
09003,7.0189845474613692,-0.38235366,37
09005,4.6723356009070294,-1.6805938,5
09009,7.4950191570881213,-0.11314963,45
09011,6.3059241706161142,-0.89409858,21
10001,7.2912393162393165,0.094496548,52
10003,7.633293768545995,-0.66828841,28
10005,7.6065753424657547,-0.70949262,27
11001,8.2704545454545446,1.1018645,83
12001,6.7530446549391057,0.65389985,72
12009,6.6855769230769226,-0.82877409,22
12011,7.11081081081081,0.17526418,54
12031,7.7034965034965044,0.44442815,63
12033,8.9624,-0.034763075,47
12057,7.5554174067495552,0.4678154,64
12071,7.379999999999999,-0.31479257,39
12073,7.6286666666666676,0.75461501,76
12086,7.1761437908496735,1.4053607,95
12095,6.5272988505747129,0.5634349,68
12099,6.5693548387096774,-0.26919448,41
12103,7.21707317073171,-0.42103598,36
12105,7.7411931818181809,0.61791128,69
12115,6.8271978021978024,-1.3368249,11
12117,6.761417322834645,-0.79390043,24
12127,7.4948948948948964,-0.27720112,40
13021,8.4468483816013649,1.5154322,97
13051,8.5135523613963056,0.56336373,68
13059,9.5424698795180714,1.4820726,97
13063,8.6949579831932784,1.4678788,96
13067,8.6479338842975189,-0.91902691,20
13069,7.1884297520661145,1.3112607,93
13089,8.9343112244897949,0.64111346,71
13095,9.954368932038836,1.7195165,99
13121,9.30414937759336,0.32731247,60
13127,7.6354545454545448,0.77118504,77
13135,10.801466275659823,-0.383955,37
13139,9.347941176470588,0.33392331,60
13153,9.6180645161290332,0.037218511,50
13185,7.52719298245614,1.4480363,96
13215,8.8134831460674139,1.3681513,94
13245,10.656268221574345,1.4749165,96
13295,9.0863043478260881,0.47568589,65
13303,8.3213270142180082,1.2620907,93
15001,2.3862055177928827,0.21356888,55
15003,3.0900983606557371,-0.48968059,33
15007,2.9064705882352939,-0.86204857,22
15009,3.8002941176470579,-0.56774533,31
16001,5.2829545454545457,-1.1208327,15
16009,10.091484184914844,0.51320386,66
16027,6.8601851851851858,0.079915509,52
16041,5.7939481268011539,-1.0477941,18
16053,3.9274787535410765,0.81971657,78
16059,8.2078260869565209,-0.71254748,27
16079,9.6556818181818169,0.56670284,68
17019,7.7976149914821127,0.96862304,80
17031,9.3799673380511734,0.62453669,69
17043,10.236398467432949,-1.5647184,6
17065,8.24513274336283,-1.051158,18
17083,7.9390625,-1.4153814,9
17089,8.5411985018726586,-0.57373357,31
17111,7.7898305084745756,-1.7005543,4
17113,9.0097357440890136,-0.43364957,35
17115,9.5097222222222229,0.30934155,60
17119,9.95135135135135,-0.54669154,32
17143,8.0410256410256427,0.33333859,60
17157,7.0580912863070546,-0.13554996,45
17161,8.5613888888888887,0.05052802,50
17163,9.1553571428571416,0.084785208,52
17167,8.1889830508474564,-0.14448135,44
17197,9.2498599439775919,-1.5675666,6
17201,10.314930555555556,0.54355651,67
18003,8.9405099150141645,-0.25238568,41
18005,6.9094117647058813,-0.42884606,35
18019,8.6539915966386545,-0.8490575,22
18035,8.335,0.717632,74
18037,8.4302521008403346,-1.2699155,12
18039,8.1893548387096757,0.14085238,53
18055,7.7092436974789917,-0.13968875,45
18057,8.7530973451327458,-1.99559,1
18065,7.6798319327731095,-0.064608105,47
18067,7.3055232558139531,-0.06312643,47
18089,9.1781137508999286,0.42369682,63
18091,7.873728813559322,0.36303303,61
18095,8.4335180055401668,0.41748515,63
18097,10.573663697104676,1.1131071,83
18105,7.2967320261437916,0.70491326,73
18127,8.2823708206686923,-1.1841898,14
18141,8.2159223300970883,0.27589691,58
18147,7.9179487179487182,-1.3956209,10
18153,8.1241379310344843,-0.18230422,43
18157,8.7763532763532766,0.62237215,69
18163,8.0466442953020128,0.38383666,62
18167,9.1601705237515212,0.96099943,80
18183,8.238394793926247,-1.4295211,9
19013,7.6708333333333343,0.13254942,53
19045,8.6016597510373423,-0.56352621,31
19103,8.8192270531400965,0.21067691,55
19111,8.2816666666666663,-0.48918346,34
19113,7.69217238346526,-1.1887633,13
19137,6.5264462809917365,-0.60315418,30
19139,7.9606811145510834,-0.75129706,25
19147,6.4263157894736835,-1.6770737,5
19153,6.9446192052980136,-0.62297249,30
19155,7.65808383233533,-0.54407722,32
19163,8.7186294078509619,-0.70130408,27
19177,7.1758333333333333,-0.46464789,34
19193,7.4508474576271189,0.056894854,51
20091,6.59939577039275,-1.7091914,4
20133,8.9615819209039547,0.54337692,67
20173,6.3530546623794226,0.053551435,51
20177,9.2913173652694621,-0.48923799,33
20191,7.60507614213198,-0.94624823,20
20195,5.3006116207951068,-1.596584,6
20209,9.172072072072071,1.4711505,96
21013,7.31311475409836,1.2495908,92
21019,7.6212918660287086,0.59701926,69
21037,7.9218687872763418,-0.45521569,34
21043,5.6834710743801651,0.75180584,76
21047,8.4877358490566017,1.3874595,95
21059,8.4948275862068972,0.44589922,64
21067,8.0402173913043491,0.59251785,69
21093,7.5390243902439016,0.081578903,52
21101,9.4987179487179478,0.92511553,80
21111,9.66294466403162,0.16182011,53
21145,9.29176755447942,0.37411743,61
21193,7.6746594005449591,1.1179382,84
21195,6.8090336134453784,0.9120993,79
21199,7.0206611570247928,0.8262257,78
21227,8.0613899613899616,0.7827338,77
22017,10.723376623376623,1.233037,92
22019,6.7904347826086964,0.80326694,77
22033,8.7551075268817176,0.78473008,77
22047,8.4786885245901633,1.0005046,81
22051,7.5214285714285722,0.76530141,76
22055,7.9537190082644624,0.66863358,72
22071,7.84793388429752,1.4177654,96
22073,7.25,1.4005076,95
22079,7.5243697478991605,1.2250241,92
22087,7.78360655737705,1.2834021,93
22105,7.4284883720930246,1.0268297,81
22109,7.475833333333334,1.047361,82
22121,8.95742857142857,-0.12288068,45
23001,5.1633734939759028,-0.23338938,42
23003,4.8976324689966182,0.15648632,53
23005,8.2969879518072283,-1.3115257,11
23009,3.3040089086859687,-1.106382,16
23011,5.0898305084745772,-0.50711656,33
23017,4.4018324607329857,-0.43080541,35
23019,4.26131386861314,-0.095644109,46
24005,7.612528473804101,-0.82014704,23
24015,6.398873239436619,-0.82513344,23
24019,5.9341807909604531,0.46269014,64
24023,5.5730337078651688,-1.0426505,18
24025,7.0280453257790372,-1.6320812,5
24027,7.4421348314606739,-1.7275752,4
24029,5.95071225071225,-0.56120998,31
24031,6.0814606741573023,-0.9676826,19
24033,7.0530451866404711,-0.13986506,45
24043,6.9501408450704236,0.043163907,50
24510,8.42034632034632,1.5252042,97
25003,6.406777645659929,-0.71683061,27
25005,6.7049504950495047,-0.052328367,47
25009,5.9955263157894745,-0.3312943,38
25011,6.2997876857749464,-1.0401268,18
25013,5.8523336643495556,1.0042505,81
25015,5.5129310344827589,-0.72479665,26
25017,6.9447293447293443,-1.085989,16
25023,6.4496314496314495,-1.5427127,7
25025,6.9466492602262857,1.3496228,94
25027,7.7659472422062343,-0.59660947,31
26005,7.0420560747663545,-1.0502821,18
26017,6.785,-0.0071401894,49
26033,8.1379310344827562,0.54318327,67
26049,7.1595842956120084,0.52164513,66
26065,7.1228571428571419,0.66339731,72
26077,7.10448717948718,-0.10322816,46
26081,7.8290697674418617,-0.52295125,32
26091,8.4399441340782122,-0.80477744,24
26099,7.3,-0.76773745,25
26101,4.9816326530612249,-0.86837256,22
26113,5.7871559633027525,-0.27773905,40
26125,7.7577586206896534,-1.484164,8
26139,8.2637931034482754,-1.5179722,7
26147,7.6230769230769226,-0.66545802,28
26153,4.2005780346820805,-0.12787345,45
26161,8.27409470752089,-0.32944119,39
26163,10.524387947269304,1.2575502,92
27003,6.7049356223175955,-1.697064,4
27005,5.157183098591549,-1.0774451,17
27007,5.9818181818181824,0.53273189,66
27017,3.1453488372093021,-1.0391846,18
27021,4.153142857142857,-0.60540503,30
27031,4.3937125748503,-0.73883152,26
27035,4.3169916434540392,-1.2580686,12
27037,6.94604409857328,-1.6178744,5
27053,7.8015712682379341,-0.63318628,29
27075,4.234383954154727,-1.5956184,6
27083,5.9085470085470089,-0.1840964,43
27109,7.5287769784172669,-1.277982,12
27123,7.602344546381242,0.3243615,60
27137,5.2434468524251807,-0.52226359,33
27139,6.82225352112676,-1.7948581,3
27145,5.51,-0.48583728,34
27163,9.9967741935483847,-1.9724895,1
27171,5.5090395480225993,-1.9597549,2
28011,9.0578512396694215,1.6860098,99
28033,8.234065934065935,-0.95997173,20
28035,8.843028846153846,1.4188567,96
28045,7.5550684931506842,0.63201934,71
28047,9.2203856749311282,1.2035794,91
28049,9.4421368547418982,1.2832935,93
28059,8.6298342541436455,0.26798904,57
29021,8.3944089456869015,0.88606697,79
29037,6.2657534246575342,-1.3282013,11
